"NUM OF MASTER 
PARAMS",Num of Strings,Num of Groups,List Descriptor String,Data to AUTOMATICALLY DROP,Num of Outputs,,,,,,,,,,,,,,,,,,,
5,6,1,CN_DB_V8,1233,1,,,,,,,,,,,,,,,,,,,
DATAID,T/V/L/U,STRINGS,,,,,,GROUPS, PARAMETERS,,,,,,,,,,,,,,,
DATAid,T/V/L,Compund Group,Compound,SMILES,Formula,Source,Method,Null,CN (Exp),Mor32e,L/Bw,nROR,ESpm03d,nROH,CIC1,RDF090m,nR=Cs,nOHp,nHDon,DISPm,O-059,S3K,O-056,Mor16u
1001,L,Ethers (cyclic) ,"5,5'-(furan-2-ylmethylene)bis(2-methylfuran)",CC1=CC=C(O1)C(C2=CC=C(C)O2)C3=CC=CO3,C15H14O3,?,?,0,25.5,0.187,1.24,0,4.266,0,2.287,0.022,0,0,0,3.336,0,2.191,0,1.362
1002,L,Ethers (cyclic) ,2-butylfuran,CCCCC1=CC=CO1,C8H12O,Dahmen/Marquadt (ASG),IQT,0,11,0.18,12.68,0,2.598,0,1.775,0,0,0,0,12.697,0,2.021,0,0.567
1003,L,Ethers (cyclic) ,BMFFM (2-[furan-2-yl(5-methylfuran-2-yl)methyl]-5-methylfuran),CC1=CC=C(O1)C(C1=CC=CO1)C1=CC=C(C)O1,C15H14O3,?,?,0,24,0.217,1.24,0,4.266,0,2.287,0.018,0,0,0,3.333,0,2.191,0,1.355
1004,L,Ethers (cyclic) ,tetrahydropyran,C1CCOCC1,C5H10O,Dahmen/Marquadt (ASG),IQT,0,38.2,0.256,1.06,1,2.533,0,2.498,0,0,0,0,5.096,1,1.307,0,-0.141
1005,L,Ethers (cyclic) ,"2,5-dimethylfuran",CC1=CC=C(C)O1,C6H8O,Dahmen/Marquadt (ASG),IQT,0,8.9,-0.026,3.58,0,3.081,0,1.567,0,0,0,0,0.34,0,0.904,0,0.471
1006,L,Ethers (cyclic) ,"2,5-dihydrofuran",C1C=CCO1,C4H6O,Dahmen/Marquadt (ASG),IQT,0,13.5,0.176,1.13,1,3.063,0,1.273,0,2,0,0,4.011,1,0.485,0,-0.026
1007,L,Ethers (cyclic) ,tris(5-methylfuran-2-yl)methane,CC1=CC=C(O1)C(C2=CC=C(C)O2)C3=CC=C(C)O3,C16H16O3,?,?,0,22.3,0.303,1,0,4.402,0,2.55,0.028,0,0,0,2.627,0,2.404,0,1.311
1008,L,Ethers (cyclic) ,2-butyltetrahydrofuran,CCCCC1CCCO1,C8H16O,Dahmen/Marquadt (ASG),IQT,0,45.5,0.218,8.86,1,3.053,0,3.024,0.004,0,0,0,5.239,1,2.355,0,-0.082
1009,L,Ethers (cyclic) ,tris(5-methyltetrahydrofuran-2-yl)methane,CC(CC1)OC1C(C2CCC(C)O2)C3CCC(C)O3,C16H28O3,?,?,0,59.8,-0.259,1.05,3,4.535,0,3.726,0.345,0,0,0,1.734,3,2.984,0,0.182
1010,L,Ethers (cyclic) ,"5,5'-((tetrahydrofuran-2-yl)methylene)bis(2-methyltetrahydrofuran)",CC(CC1)OC1C(C2CCC(C)O2)C3CCCO3,C15H26O3,?,?,0,60.4,-0.06,2.25,3,4.439,0,3.547,0.166,0,0,0,1.544,3,2.76,0,-0.114
1011,L,Ethers (cyclic) ,furfuryl alcohol,C1=COC(=C1)CO,C5H6O2,Dahmen/Marquadt (ASG),IQT,0,7.9,-0.019,4.46,0,2.812,1,0.673,0,0,1,1,4.391,0,0.886,1,0.221
1012,L,Ethers (cyclic) ,"3,4-dihydro-2H-pyran",C1CC=COC1,C5H8O,Dahmen/Marquadt (ASG),IQT,0,23,0.057,1.14,1,2.832,0,1.251,0,1,0,0,5.805,1,1.139,0,-0.029
1013,L,Ethers (cyclic) ,eucalyptol,CC1(C2CCC(O1)(CC2)C)C,C10H18O,Dahmen/Marquadt (ASG),IQT,0,17.1,0.537,1.95,1,4.343,0,3.097,0,0,0,0,0.89,1,1.1,0,0.186
1014,L,Ethers (cyclic) ,2-methyltetrahydrofuran,O1C(C)CCC1,CH3C4H7O,Dahmen/Marquadt (ASG),IQT,0,19.9,-0.045,2.1,1,3.053,0,2.201,0,0,0,0,3.557,1,0.959,0,-0.231
1015,L,Ethers (cyclic) ,2-methyltetrahydrofuran,CC1CCCO1,C5H10O,?,?,0,20.5,-0.044,2.1,1,3.053,0,2.201,0,0,0,0,3.256,1,0.959,0,-0.233
1016,L,Ethers (cyclic) ,"2,3-dihydrofuran",C1COC=C1,C4H6O,Dahmen/Marquadt (ASG),IQT,0,18.4,0.082,1.09,1,2.832,0,0.909,0,1,0,0,6.466,1,0.485,0,-0.006
1017,L,Ethers (cyclic) ,2-ethylfuran,CCC1=CC=CO1,C6H8O,Dahmen/Marquadt (ASG),IQT,0,8.3,0.01,4.54,0,2.598,0,1.224,0,0,0,0,8.849,0,0.904,0,0.429
1018,L,Ethers (cyclic) ,tetrahydrofuran,C1CCOC1,C4H8O,Dahmen/Marquadt (ASG),IQT,0,20.9,-0.034,1.11,1,2.533,0,2.154,0,0,0,0,5.122,1,0.619,0,-0.168
1019,L,Ethers (cyclic) ,tetrahydrofuran,C1CCOC1,C4H8O,Dahmen/Marquadt (ASG),IQT,0,20.9,-0.034,1.11,1,2.533,0,2.154,0,0,0,0,5.122,1,0.619,0,-0.168
1020,L,Ethers (cyclic) ,rose oxide,CC1CCOC(C1)C=C(C)C,C10H18O,NREL (2014),IQT,0,30,0.339,5.24,1,3.879,0,2.534,0,1,0,0,4.089,1,3.065,0,0.209
1021,L,Ethers (cyclic) ,2-ethyltetrahydrofuran,CCC1CCCO1,C6H12O,Dahmen/Marquadt (ASG),IQT,0,27.8,-0.03,3.53,1,3.053,0,2.514,0,0,0,0,2.654,1,1.165,0,-0.201
1022,L,Ethers (cyclic) ,2-methylfuran,CC1=CC=CO1,C5H6O,Dahmen/Marquadt (ASG),IQT,0,7.6,-0.118,2.61,0,2.433,0,0.959,0,0,0,0,5.442,0,0.697,0,0.379
1023,L,Ethers (cyclic) ,2-methylfuran,Cc1ccco1,C5H6O,Dahmen/Marquadt (ASG),IQT,0,7.6,-0.118,2.61,0,2.433,0,0.959,0,0,0,0,5.442,0,0.697,0,0.379
1024,L,Olefins (cyclic),bisabolene,CC1=CCC(=C(C)CCC=C(C)C)CC1,C15H24,NREL (2014),IQT,0,32.2,0.685,5.85,0,4.345,0,3.234,1.107,2,0,0,2.535,0,4.506,0,0.48
1025,L,Olefins (cyclic),limonene,CC1=CCC(CC1)C(=C)C,C10H16,Dahmen/Marquadt (ASG),IQT,0,17.1,0.298,6.15,0,3.852,0,2.264,0,1,0,0,1.165,0,1.996,0,0.333
1026,L,Olefins (cyclic),?-pinene,CC1(C2CCC(=C)C1C2)C,C10H16,Dahmen/Marquadt (ASG),IQT,0,17.1,0.311,1.89,0,4.059,0,2.281,0,0,0,0,2.234,0,0.66,0,0.267
1027,L,Olefins (cyclic),?-pinene,CC1=CCC2CC1C2(C)C,C10H16,Dahmen/Marquadt (ASG),IQT,0,19,0.311,2.13,0,4.099,0,2.331,0,1,0,0,1.864,0,0.66,0,0.324
1028,L,Alcohols,?-citronellol,CC(CCC=C(C)C)CCO,C10H20O,Dahmen/Marquadt (ASG),IQT,0,24.9,0.136,14.07,0,3.381,1,2.55,0.237,1,1,1,3.559,0,7.6,1,0.527
1029,L,Alcohols,"(9Z,12Z,15Z)-octadeca-9,12,15-trien-1-ol",OCCCCCCCC/C=C\C/C=C\C/C=C\CC,C18H32O,?,?,0,41,1.111,8.07,0,3.42,1,3.267,1.64,6,1,1,2.13,0,17.182,1,0.853
1030,L,Alcohols,3-methoxy-3-methyl-1-butanol,CC(C)(CCO)OC,C6H14O2,Dahmen/Marquadt (ASG),IQT,0,8.6,0.294,4.17,1,3.747,1,2.278,0,0,1,1,6.734,1,3.603,1,0.019
1031,L,Alcohols,"3,7-dimethyl-1-octanol",CC(C)CCCC(C)CCO,C10H22O,Dahmen/Marquadt (ASG),IQT,0,29.2,0.293,19.9,0,2.786,1,3.242,0.861,0,1,1,6.233,0,7.862,1,0.7
1032,L,Alcohols,methanol,CO,CH4O,NREL (2014),Unknown,0,5,0.018,8.4,0,0.492,1,0.792,0,0,0,1,6.402,0,1.45,1,-0.04
1033,L,Alcohols,tetrahydrofurfuryl alcohol,C1CC(OC1)CO,C5H10O2,Dahmen/Marquadt (ASG),IQT,0,16,-0.205,3.66,1,3.194,1,1.913,0,0,1,1,6.149,1,1.144,1,-0.064
1034,L,Alcohols,isobutanol,CC(C)CO,C4H10O,NREL (2014),IQT,0,8.5,0.125,2.59,0,2.324,1,2.035,0,0,1,1,4.955,0,3.961,1,0.117
1035,L,Alcohols,2-nonanol,CCCCCCCC(C)O,C9H20O,NREL (2014),IQT,0,39.6,0.648,21.78,0,2.549,1,3.274,1.553,0,0,1,5.374,0,9.105,1,0.846
1036,L,Alcohols,2(S)-ethylhexan-1-ol,CCCC[C@H](CC)CO,C8H18O,NREL (2014),IQT,0,23,0.19,3.06,0,2.324,1,2.944,0,0,1,1,5.725,0,4.463,1,0.485
1037,L,Alcohols,2-butanol,CCC(C)O,C4H10O,NREL (2014),IQT,0,8.5,0.038,2.34,0,2.549,1,2.035,0,0,0,1,3.812,0,3.961,1,0.24
1038,L,Alcohols,1-octanol,CCCCCCCCO,C8H18O,NREL (2014),IQT,0,33.9,0.666,36.42,0,1.439,1,3.148,0.213,0,1,1,8.828,0,7.961,1,0.541
1039,L,Alcohols,3-methyl-1-butanol,CC(C)CCO,C5H12O,Dahmen/Marquadt (ASG),IQT,0,11,0.137,4.83,0,2.324,1,2.225,0,0,1,1,6.827,0,5.299,1,0.241
1040,L,Alcohols,1-butanol,CCCCO,C4H10O,Dahmen/Marquadt (ASG),IQT,0,9.9,0.185,12.33,0,1.439,1,2.035,0,0,1,1,6.831,0,3.961,1,0.131
1041,L,Alcohols,(9Z)-octadec-9-en-1-ol,CCCCCCCC/C=C\CCCCCCCCO,C18H36O,?,?,0,51,1.501,10.77,0,2.565,1,3.918,1.864,2,1,1,7.041,0,17.701,1,1.338
1042,L,Alcohols,pentan-1-ol,CCCCCO,C5H12O,NREL (2014),CFR,0,20,0.302,17.68,0,1.439,1,2.378,0,0,1,1,6.577,0,5.299,1,0.229
1043,L,Alcohols,nonan-1-ol,CCCCCCCCCO,C9H20O,NREL (2014),CFR,0,45,0.796,44.69,0,1.439,1,3.345,0.414,0,1,1,7.306,0,9.105,1,0.658
1044,L,Alcohols,(9Z)-hexadec-9-en-1-ol,CCCCCC/C=C\CCCCCCCCO,C16H32O,NREL (2014),Other Ignition Delay Method,0,46,1.25,12.02,0,2.565,1,3.676,1.438,2,1,1,6.225,0,15.701,1,1.01
1045,L,Alcohols,heptan-1-ol,CCCCCCCO,C7H16O,NREL (2014),IQT,0,29,0.535,29.59,0,1.439,1,2.926,0.012,0,1,1,7.032,0,7.163,1,0.429
1046,L,Alcohols,1-heptanol,CCCCCCCO,C7H16O,NREL (2014),IQT,0,29,0.535,29.59,0,1.439,1,2.926,0.012,0,1,1,7.032,0,7.163,1,0.429
1047,L,Alcohols,decan-1-ol,CCCCCCCCCCO,C10H22O,NREL (2014),CFR,0,50,0.94,53.15,0,1.439,1,3.522,0.615,0,1,1,7.695,0,9.961,1,0.784
1048,L,Alcohols,cyclohexanol,C1CCC(CC1)O,C6H12O,Dahmen/Marquadt (ASG),IQT,0,15.3,0.429,2.15,0,2.549,1,2.614,0,0,0,1,5.311,0,1.476,1,-0.001
1049,L,Alcohols,hexan-1-ol,CCCCCCO,C6H14O,NREL (2014),CFR,0,23.3,0.414,22.82,0,1.439,1,2.672,0.001,0,1,1,7.283,0,5.961,1,0.321
1050,L,Alcohols,tetradecan-1-ol,CCCCCCCCCCCCCCO,C14H30O,NREL (2014),CFR,0,80.8,1.514,95.98,0,1.439,1,4.087,1.419,0,1,1,7.887,0,13.961,1,1.249
1051,L,Alcohols,"(9Z,12Z)-octadeca-9,12-dien-1-ol",CCCCC/C=C\C/C=C\CCCCCCCCO,C18H34O,NREL (2014),Other Ignition Delay Method,0,44,1.265,5.29,0,3.082,1,3.536,1.042,4,1,1,4.705,0,17.442,1,1.013
1052,L,Alcohols,2-ethyl-1-hexanol,CCCCC(CC)CO,C8H18O,NREL (2014),IQT,0,23.5,0.286,6.12,0,2.324,1,2.944,0.002,0,1,1,5.064,0,4.463,1,0.505
1053,L,Alcohols,Isopentanol ,CC(C)CCO,C5H12O,NREL (2014),IQT,0,18.4,0.137,4.83,0,2.324,1,2.225,0,0,1,1,6.827,0,5.299,1,0.241
1054,L,Alcohols,propan-1-ol,CCCO,C3H8O,NREL (2014),Unknown,0,12,0.104,9.14,0,1.439,1,1.638,0,0,1,1,5.678,0,4.002,1,0.031
1055,L,Alcohols,butan-1-ol,CCCCO,C4H10O,NREL (2014),IQT,0,12,0.185,12.33,0,1.439,1,2.035,0,0,1,1,6.831,0,3.961,1,0.131
1056,L,Alcohols,nerolidol,CC(=CCCC(=CCCC(C)(C=C)O)C)C,C15H26O,Dahmen/Marquadt (ASG),IQT,0,17.5,0.684,7.8,0,4.41,1,2.722,1.547,3,0,1,4.91,0,9.184,1,0.348
1057,L,Alcohols,2(R)-ethylhexan-1-ol,CCCC[C@@H](CC)CO,C8H18O,?,?,0,23,0.286,6.12,0,2.324,1,2.944,0.002,0,1,1,5.064,0,4.463,1,0.505
1058,L,Alcohols,3-octanol,CCCCCC(CC)O,C8H18O,Dahmen/Marquadt (ASG),IQT,0,24.3,0.489,15.26,0,2.549,1,3.078,0.182,0,0,1,3.719,0,5.838,1,0.663
1059,L,Alcohols,octan-1-ol,CCCCCCCCO,C8H18O,NREL (2014),CFR,0,39,0.666,36.42,0,1.439,1,3.148,0.213,0,1,1,8.828,0,7.961,1,0.541
1060,L,Alcohols,octan-3-ol,CCCCCC(O)CC,C8H18O,NREL (2014),IQT,0,25,0.49,15.26,0,2.549,1,3.078,0.182,0,0,1,3.734,0,5.838,1,0.661
1061,L,Alcohols,linalool,CC(=CCCC(C)(C=C)O)C,C10H18O,Dahmen/Marquadt (ASG),IQT,0,10.8,0.322,8.55,0,4.111,1,2.073,0.1,2,0,1,4.449,0,5.865,1,0.224
1062,L,Alcohols,hexadecan-1-ol,CCCCCCCCCCCCCCCCO,C16H34O,NREL (2014),Other Ignition Delay Method,0,68,1.817,122.1,0,1.439,1,4.309,1.82,0,1,1,9.265,0,15.961,1,1.431
1063,L,Alcohols,dodecan-1-ol,CCCCCCCCCCCCO,C12H26O,NREL (2014),CFR,0,63.6,1.215,73,0,1.439,1,3.829,1.017,0,1,1,9.124,0,11.961,1,1.026
1064,L,Alcohols,2-methyl-2-butanol,CCC(C)(C)O,C5H12O,Dahmen/Marquadt (ASG),IQT,0,10.3,0.149,2.32,0,3.508,1,2.378,0,0,0,1,3.032,0,5.299,1,0.368
1065,L,Alcohols,undecan-1-ol,CCCCCCCCCCCO,C11H24O,NREL (2014),CFR,0,53,1.073,62.94,0,1.439,1,3.683,0.816,0,1,1,8.545,0,11.073,1,0.9
1066,L,Alcohols,cyclopentanol,C1CCC(C1)O,C5H10O,Dahmen/Marquadt (ASG),IQT,0,9,-0.33,2.22,0,2.549,1,2.283,0,0,0,1,4.931,0,0.959,1,-0.052
1067,L,Alcohols,geraniol,CC(=CCCC(=CCO)C)C,C10H18O,Dahmen/Marquadt (ASG),IQT,0,14.5,0.263,6.05,0,3.798,1,2.461,0.054,2,1,1,4.972,0,7.337,1,-0.088
1068,L,Alcohols,ethanol,CCO,C2H6O,NREL (2014),IQT,0,11,0.025,4.92,0,1.439,1,1.29,0,0,1,1,7,0,2,1,0.005
1069,L,Aldehydes,octanal,CCCCCCCC=O,C8H16O,NREL (2014),IQT,0,81,0.593,39.48,0,3.274,0,2.809,0.139,0,0,0,13.457,0,7.675,0,0.616
1070,L,Aldehydes,hexanal,CCCCCC=O,C6H12O,Dahmen/Marquadt (ASG),IQT,0,71.7,0.37,26.19,0,3.274,0,2.253,0,0,0,0,13.313,0,5.675,0,0.352
1071,L,Aldehydes,pentanal,CCCCC=O,C5H10O,Dahmen/Marquadt (ASG),IQT,0,62.4,0.24,19.03,0,3.274,0,1.908,0,0,0,0,13.49,0,5.049,0,0.252
1072,L,Aldehydes,butanal,CCCC=O,C4H8O,Dahmen/Marquadt (ASG),IQT,0,41,0.152,16.1,0,3.274,0,1.512,0,0,0,0,13.029,0,3.675,0,0.138
1073,L,Aldehydes,3-cyclohexene-1-carboxaldehyde,C1CC(CC=C1)C=O,C7H10O,Dahmen/Marquadt (ASG),IQT,0,27.8,0.216,3.61,0,3.767,0,1.578,0,2,0,0,7.666,0,1.461,0,0.06
1074,L,Aldehydes,isobutyraldehyde,CC(C)C=O,C4H8O,Dahmen/Marquadt (ASG),IQT,0,19.6,0.141,2.79,0,3.54,0,1.665,0,0,0,0,12.357,0,3.675,0,0.124
1075,L,Aromatics,dibenzylether,C1=CC=C(C=C1)COCC2=CC=CC=C2,C14H14O,Dahmen/Marquadt (ASG),IQT,0,6.7,-0.064,11.53,1,3.623,0,2.705,0.109,0,0,0,1.076,1,3.224,0,0.084
1076,L,Aromatics,benzaldehyde dimethyl acetal,COC(C1=CC=CC=C1)OC,C9H12O2,Dahmen/Marquadt (ASG),IQT,0,8.9,0.01,3.81,2,3.799,0,2.038,0,0,0,0,5.09,2,2.034,0,0.019
1077,L,Aromatics,"2,6-dimethylnaphthalene",Cc1ccc2cc(C)ccc2c1,C12H12,NREL (2014),Blend (IQT/CFR?),0,-7,-0.148,4.56,0,3.52,0,2.189,0.016,0,0,0,0.003,0,1.361,0,0.004
1078,L,Aromatics,tert-butylbenzene,CC(C)(C)c1ccccc1,C10H14,Creton,?,0,-1,0.153,3.34,0,3.726,0,2.354,0,0,0,0,7.21,0,1.856,0,0.386
1079,L,Aromatics,4-methoxybenzaldehyde,COC1=CC=C(C=C1)C=O,C8H8O2,Dahmen/Marquadt (ASG),IQT,0,25.1,-0.028,6.38,0,3.82,0,1.354,0,0,0,0,7.634,0,1.666,0,0.006
1080,L,Aromatics,n-hexylbenzene,CCCCCCc1ccccc1,C12H18,NREL (2014),Unknown,0,26,0.437,18.84,0,2.598,0,2.644,0.421,0,0,0,11.163,0,3.999,0,0.71
