DATAID,ASSIGNMENT,STRING,STRING,TARGET,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT,INPUT
DATAID,ASSIGNMENT,Formula,SMILES,Target,nHdNH,MATS2e,SC-5,SdsssP,MATS8v,mindSe,mindSe,AATSC3m,VE3_Dzs,AATSC1v,ETA_dEpsilon_D,TDB9r,ATSC5s,naaNH,TDB9p
UMLCP0001,L,C6E3,CCCCCCOCCOCCOCCO,40.5,0,-0.219635017,0,0,-0.034780067,0,0,-0.339435472,-2.41209002,-5.85592544,0.0348,1.910026466,-5.87414966,0,7.856152845
UMLCP0002,L,C6E4,CCCCCCOCCOCCOCCOCCO,63.8,0,-0.241400656,0,0,0.001959448,0,0,-0.631740798,-3.081262757,-6.14262828,0.03009,2.156481529,-7.813202832,0,8.771095959
UMLCP0003,L,C6E5,CCCCCCOCCOCCOCCOCCOCCO,75,0,-0.257991147,0,0,0.025296109,0,0,-0.889179415,-3.87719352,-6.358674128,0.02648,2.112244238,-9.769132653,0,8.552160777
UMLCP0004,L,C6E6,CCCCCCOCCOCCOCCOCCOCCOCCO,83,0,-0.271041986,0,0,0.041513732,0,0,-1.112386229,-4.769287768,-6.527284383,0.02364,2.248358313,-11.73582766,0,9.038760735
UMLCP0005,L,C8E3,CCCCCCCCOCCOCCOCCO,7,0,-0.195178264,0,0,0.015697116,0,0,-0.168553352,-2.307015717,-5.126223652,0.03002,2.141455432,-4.770833333,0,8.889880537
UMLCP0006,L,C8E4,CCCCCCCCOCCOCCOCCOCCO,38.5,0,-0.216782749,0,0,0.036398415,0,0,-0.396911884,-2.711185365,-5.481633016,0.02648,2.088539856,-6.589586777,0,8.57368948
UMLCP0007,V,C8E5,CCCCCCCCOCCOCCOCCOCCOCCO,58.6,0,-0.233932211,0,0,0.050797588,0,0,-0.613351466,-3.247340834,-5.756170569,0.02367,2.24048913,-8.453173777,0,9.128597862
UMLCP0008,V,C8E6,CCCCCCCCOCCOCCOCCOCCOCCOCCO,72.5,0,-0.247848102,0,0,0.061435852,0,0,-0.811440627,-3.890901476,-5.974602508,0.02138,2.195812694,-10.34688091,0,8.914916161
UMLCP0009,V,C8E8,CCCCCCCCOCCOCCOCCOCCOCCOCCOCCOCCO,96,0,-0.269022769,0,0,0.076167501,0,0,-1.15092226,-5.424975856,-6.300244293,0.01791,2.252694367,-14.19211787,0,9.074850537
