"DATAID","ASSIGNMENT","STRING","STRING","TARGET","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT","INPUT"
"DATAID","ASSIGNMENT","Compound Name","SMILES","Target","SpMax6_Bhs","R_TpiPCTPC","AATS3p","VP-0","SIC1","nsssSnH","MIC0","nN","nC","CIC2","R_TpiPCTPC","MLFER_L","maxsAsH2","WPOL","RNCG"
"UMLYSI0001","L","","C1=CC=C(C=C1)C2=CC=CC=C2C3=CC=CC=C3","1338.9","2.7466847270768713","7.394396551724138","1.623417584413223","10.082903768654765","0.2837128886399193","0.0","6.128871424445239","0","18","3.025398247285419","7.394396551724138","9.672","0.0","26.0","0.07107768971544853"
"UMLYSI0002","T","","C1C2=CC=CC3=C2C4=C(C=CC=C41)C=C3","1312.8","2.4589944530574397","8.104582843713278","1.7891886100684653","8.325908934703556","0.4831881303119284","0.0","5.839061167809306","0","15","1.7599999999999998","8.104582843713278","8.605","0.0","27.0","0.10693039176364037"
"UMLYSI0003","T","","C1=CC=C2C(=C1)C3=CC=CC4=C3C2=CC=C4","1291.9","2.448121821525565","8.637426900584796","1.8216539095797235","8.77350269189626","0.32945441264701075","0.0","5.706823503510397","0","16","2.489579075123099","8.637426900584796","9.284","0.0","29.0","0.09840561528897937"
"UMLYSI0004","T","","C1=CC=C(C=C1)C2=CC(=CC=C2)C3=CC=CC=C3","1286.6","2.7466847270768677","7.954741379310345","1.6092425944857724","10.082903768654765","0.2837128886399193","0.0","6.128871424445239","0","18","3.0145071364855194","7.954741379310345","9.672","0.0","25.0","0.07098198284639921"
"UMLYSI0005","L","","C1=CC2=C3C(=C1)C=CC4=CC=CC(=C43)C=C2","1250.1","2.5468968333439688","9.621468926553673","1.8361549704545914","8.77350269189626","0.32945441264701075","0.0","5.706823503510397","0","16","2.66228003649514","9.621468926553673","9.284","0.0","30.0","0.09735577290110477"
"UMLYSI0006","L","","C1=CC=C(C=C1)CC2=CC=C(C=C2)C3=CC=CC=C3","1192.6","2.7578906652037842","6.915401301518438","1.5590452998543016","10.790010549841313","0.3727559001041618","0.0","6.261684853752822","0","19","2.594649826089525","6.915401301518438","9.931","0.0","25.0","0.06564479811325588"
"UMLYSI0007","T","","CC1=C2C=CC=CC2=CC3=CC=CC=C13","1182.1","2.588336324264529","9.004032258064516","1.7343689627720305","8.696152422706634","0.456204468783066","0.0","6.177348133484644","0","15","1.9734893524127513","9.004032258064516","8.272","0.0","25.0","0.09514019094973161"
"UMLYSI0008","V","","C1=CC=C(C=C1)C2=CC=CC3=CC=CC=C32","1103.7","2.6015102833455757","7.964523281596453","1.656213419740331","8.928203230275512","0.3013748015728106","0.0","6.064129900316413","0","16","2.7871107149038474","7.964523281596453","8.734","0.0","24.0","0.08286404628370805"
"UMLYSI0009","L","","C1=CC=C(C=C1)C(C2=CC=CC=C2)C3=CC=CC=C3","1093.3","2.7534739792881076","6.136460554371002","1.5728952577554047","10.737604307034017","0.3206424202396329","0.0","6.261684853752822","0","19","3.068495612959971","6.136460554371002","9.485999999999999","0.0","27.0","0.06131120850196168"
"UMLYSI0010","L","","C1CC2=CC=CC=C2CC3=CC=CC=C31","1067.2","2.6272581670788204","5.2045929018789145","1.5828053526465304","8.74012249707665","0.4782153676027614","0.0","6.41448736184119","0","15","1.931034482758621","5.2045929018789145","7.874999999999999","0.0","25.0","0.08858008587839197"
"UMLYSI0011","V","","CC1=CC=CC2=C1CC3=CC=CC=C32","1014.9","2.3095429811478856","6.508733624454148","1.6815641092244895","8.24855866551393","0.5281333699741867","0.0","6.289566003466317","0","14","1.4292792099511606","6.508733624454148","7.592999999999999","0.0","22.0","0.10419570189132679"
"UMLYSI0012","L","","C1C2=CC=CC=C2C3=CC=CC=C31","988.8","2.324668496020137","6.829573934837093","1.6384154360206395","7.3259089347035555","0.4809784612736868","0.0","6.109453737423458","0","13","1.8260869565217392","6.829573934837093","7.117","0.0","19.0","0.10814071540838342"
"UMLYSI0013","T","","C1C2=CC=CC=C2CC3=CC=CC=C31","988.8","2.546513674861157","5.890909090909091","1.6082884537951407","8.033015715890103","0.4599523255953089","0.0","6.289566003466317","0","14","2.230769230769231","5.890909090909091","7.376","0.0","21.0","0.09607119178485878"
"UMLYSI0014","T","","CC1=CC=CC=C1C2=CC=CC=C2C","983.5","2.46449641237066","6.353174603174603","1.6220533680878257","8.618802153517008","0.4836054327817943","0.0","6.503912516","0","14","2.0539205358688184","6.353174603174603","7.260000000000001","0.0","20.0","0.09278721574098767"
"UMLYSI0015","T","","C1=CC=C2C=C3C=CC=CC3=CC2=C1","962.6","2.4026571242233983","9.220454545454546","1.6802512383471617","7.77350269189626","0.3235262567029445","0.0","5.973635421676757","0","14","2.4674700395364018","9.220454545454546","7.795999999999999","0.0","21.0","0.0982614340990513"
"UMLYSI0016","T","","C1CC2=CC=CC=C2C3=CC=CC=C31","952.2","2.404071802288071","6.072727272727272","1.5849272963826537","8.033015715890102","0.49268248768044165","0.0","6.289566003466317","0","14","1.9230769230769234","6.072727272727272","7.6160000000000005","0.0","22.0","0.09873674728525052"
"UMLYSI0017","T","","C1=CC=C2C(=C1)C=CC3=CC=CC=C32","941.7","2.352759507933629","8.506818181818181","1.6985498617080526","7.77350269189626","0.3235262567029445","0.0","5.973635421676757","0","14","2.5303773313833577","8.506818181818181","7.795999999999999","0.0","22.0","0.0984408009183129"
"UMLYSI0018","L","","CC1=CC=CC(=C1)C2=CC(=CC=C2)C","931.3","2.4319970478276276","6.34375","1.5873490824033776","8.618802153517008","0.4836054327817943","0.0","6.503912516","0","14","1.9110633930116752","6.34375","7.260000000000001","0.0","18.0","0.09175693421609359"
"UMLYSI0019","L","","C1C2=CC=CC=C2C=C1C3=CC=CC=C3","931.3","2.6729874548051633","6.771428571428571","1.5860786372777522","8.480609473082808","0.4357574813923896","0.0","6.177348133484644","0","15","2.0586595898323674","6.771428571428571","7.814999999999999","0.0","20.0","0.08906948704523103"
"UMLYSI0020","V","","CC1=CC=C(C=C1)C2=CC=C(C=C2)C","899.9","2.6919477425211933","6.6513409961685825","1.5873490824033778","8.618802153517008","0.4836054327817943","0.0","6.503912516","0","14","2.1967776787259616","6.6513409961685825","7.260000000000001","0.0","18.0","0.08772595099035665"
"UMLYSI0021","L","","CC1=CC=CC=C1C2=CC=CC=C2","863.3","2.422879808202139","6.406392694063927","1.5712082887296717","7.696152422706634","0.45034010597799584","0.0","6.3991649747002715","0","13","1.9859496196697823","6.406392694063927","6.784","0.0","17.0","0.09624610036510528"
"UMLYSI0022","L","","CCCCCC1=CC=C(C=C1)C2=CC=CC=C2","863.3","2.8001506762090846","5.772036474164134","1.3309092618906337","10.524579547452825","0.4715050350515756","0.0","6.6696073151609605","0","17","1.8256452708549915","5.772036474164134","8.780000000000001","0.0","21.0","0.07682243703091039"
"UMLYSI0023","V","","CCCCC1=CC=C(C=C1)C2=CC=CC=C2","847.7","2.7891148323831043","5.980456026058632","1.368335268189618","9.817472766266278","0.4820718058209442","0.0","6.630523010877894","0","16","1.7658558828619926","5.980456026058632","8.281","0.0","20.0","0.0819271946196083"
"UMLYSI0024","L","","CCCC1=CC=C(C=C1)C2=CC=CC=C2","821.5","2.7761740054399846","6.205673758865248","1.4153851046797692","9.11036598507973","0.48749778227045515","0.0","6.577472112674295","0","15","1.7431967747518633","6.205673758865248","7.781999999999999","0.0","19.0","0.08738641914567506"
"UMLYSI0025","V","","CCC1=CC=C(C=C1)C2=CC=CC=C2","811.1","2.712525994651987","6.413385826771654","1.47631849947849","8.403259203893182","0.47499871368117597","0.0","6.503912516","0","14","1.858539286332419","6.413385826771654","7.283","0.0","18.0","0.0893453611983807"
"UMLYSI0026","L","","C1CC2=CC=CC3=C2C1=CC=C3","805.8","2.346875904822904","5.987113402061856","1.5728952577554054","6.878315177510851","0.5411201791593216","0.0","6.244890828734465","0","12","1.5231715911057693","5.987113402061856","6.678","0.0","18.0","0.12206590758011826"
"UMLYSI0027","L","","CCC(C1=CC=CC=C1)C2=CC=CC=C2","805.8","2.771087915349787","4.901185770750988","1.4302694671886642","9.057959742272434","0.45339047987838504","0.0","6.577472112674295","0","15","2.112385272753679","4.901185770750988","7.337","0.0","20.0","0.0814717256127436"
"UMLYSI0028","V","","CC1=CC=CC2=C1C=CC=C2C","779.7","2.3015018148859365","5.956521739130435","1.6631578459879186","7.464101615137755","0.5226303649819144","0.0","6.503912516","0","12","1.792481250360579","5.956521739130435","6.322","0.0","18.0","0.11300272657870918"
"UMLYSI0029","T","","CC1=CC=CC(=C1)C2=CC=CC=C2","779.7","2.3955185815692506","6.393665158371041","1.5518539755594989","7.696152422706634","0.45034010597799584","0.0","6.3991649747002715","0","13","1.9215640006923098","6.393665158371041","6.784","0.0","16.0","0.0961283328288695"
"UMLYSI0030","V","","CC1=CC2=C(C=C1)C=C(C=C2)C","774.5","2.399619055713514","5.8268398268398265","1.6229008745939586","7.464101615137756","0.5226303649819144","0.0","6.503912516","0","12","1.792481250360579","5.8268398268398265","6.322","0.0","16.0","0.10774532539342913"
"UMLYSI0031","V","","CC1=CC=C(C=C1)C2=CC=CC=C2","769.3","2.5569676017768965","6.551569506726457","1.5518539755594989","7.696152422706634","0.45034010597799584","0.0","6.3991649747002715","0","13","2.0015640006923094","6.551569506726457","6.784","0.0","16.0","0.0961246779822912"
"UMLYSI0032","L","","CC1=CC2=CC=CC=C2C=C1C","748.4","2.1872464857193386","6.611353711790393","1.6430293602909385","7.464101615137755","0.5226303649819144","0.0","6.503912516","0","12","1.792481250360579","6.611353711790393","6.322","0.0","17.0","0.11324783088137663"
"UMLYSI0033","L","","CC1=C(C2=CC=CC=C2C=C1)C","743.1","2.426527529198968","6.650655021834061","1.6631578459879188","7.464101615137756","0.5226303649819144","0.0","6.503912516","0","12","1.6572682296173902","6.650655021834061","6.322","0.0","18.0","0.11341265875903433"
